title;rating;score;director
Bastardos Inglórios;Bastardos Inglórios;Bastardos Inglórios;Bastardos Inglórios
Batman: O Cavaleiro das Trevas Ressurge;Batman: O Cavaleiro das Trevas Ressurge;Batman: O Cavaleiro das Trevas Ressurge;Batman: O Cavaleiro das Trevas Ressurge
Beleza Americana;Beleza Americana;Beleza Americana;Beleza Americana
Dr. Fantástico;Dr. Fantástico;Dr. Fantástico;Dr. Fantástico
Oldboy;Oldboy;Oldboy;Oldboy
Viva: A Vida é uma Festa;Viva: A Vida é uma Festa;Viva: A Vida é uma Festa;Viva: A Vida é uma Festa
Amadeus;Amadeus;Amadeus;Amadeus
Toy Story;Toy Story;Toy Story;Toy Story
O Barco: Inferno no Mar;O Barco: Inferno no Mar;O Barco: Inferno no Mar;O Barco: Inferno no Mar
Coração Valente;Coração Valente;Coração Valente;Coração Valente
Vingadores: Ultimato;Vingadores: Ultimato;Vingadores: Ultimato;Vingadores: Ultimato
Coringa;Coringa;Coringa;Coringa
Princesa Mononoke;Princesa Mononoke;Princesa Mononoke;Princesa Mononoke
Gênio Indomável;Gênio Indomável;Gênio Indomável;Gênio Indomável
Your Name.;Your Name.;Your Name.;Your Name.
Era uma Vez na América;Era uma Vez na América;Era uma Vez na América;Era uma Vez na América
3 Idiotas;3 Idiotas;3 Idiotas;3 Idiotas
Céu E Inferno;Céu E Inferno;Céu E Inferno;Céu E Inferno
Cantando na Chuva;Cantando na Chuva;Cantando na Chuva;Cantando na Chuva
Cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Réquiem para um Sonho;Réquiem para um Sonho;Réquiem para um Sonho;Réquiem para um Sonho
Toy Story 3;Toy Story 3;Toy Story 3;Toy Story 3
Vá e Veja;Vá e Veja;Vá e Veja;Vá e Veja
Star Wars, Episódio VI: O Retorno do Jedi;Star Wars, Episódio VI: O Retorno do Jedi;Star Wars, Episódio VI: O Retorno do Jedi;Star Wars, Episódio VI: O Retorno do Jedi
Brilho Eterno de uma Mente sem Lembranças;Brilho Eterno de uma Mente sem Lembranças;Brilho Eterno de uma Mente sem Lembranças;Brilho Eterno de uma Mente sem Lembranças
2001: Uma Odisséia no Espaço;2001: Uma Odisséia no Espaço;2001: Uma Odisséia no Espaço;2001: Uma Odisséia no Espaço
A Caça;A Caça;A Caça;A Caça
Cães de Aluguel;Cães de Aluguel;Cães de Aluguel;Cães de Aluguel
Viver;Viver;Viver;Viver
Lawrence da Arábia;Lawrence da Arábia;Lawrence da Arábia;Lawrence da Arábia
Cidadão Kane;Cidadão Kane;Cidadão Kane;Cidadão Kane
M, o Vampiro de Dusseldorf;M, o Vampiro de Dusseldorf;M, o Vampiro de Dusseldorf;M, o Vampiro de Dusseldorf
Se Meu Apartamento Falasse;Se Meu Apartamento Falasse;Se Meu Apartamento Falasse;Se Meu Apartamento Falasse
Intriga Internacional;Intriga Internacional;Intriga Internacional;Intriga Internacional
Um Corpo que Cai;Um Corpo que Cai;Um Corpo que Cai;Um Corpo que Cai
Pacto de Sangue;Pacto de Sangue;Pacto de Sangue;Pacto de Sangue
O Fabuloso Destino de Amélie Poulain;O Fabuloso Destino de Amélie Poulain;O Fabuloso Destino de Amélie Poulain;O Fabuloso Destino de Amélie Poulain
Scarface;Scarface;Scarface;Scarface
Nascido para Matar;Nascido para Matar;Nascido para Matar;Nascido para Matar
Laranja Mecânica;Laranja Mecânica;Laranja Mecânica;Laranja Mecânica
Incêndios;Incêndios;Incêndios;Incêndios
Fogo Contra Fogo;Fogo Contra Fogo;Fogo Contra Fogo;Fogo Contra Fogo
Up: Altas Aventuras;Up: Altas Aventuras;Up: Altas Aventuras;Up: Altas Aventuras
Hamilton;Hamilton;Hamilton;Hamilton
O Sol é para Todos;O Sol é para Todos;O Sol é para Todos;O Sol é para Todos
Golpe de Mestre;Golpe de Mestre;Golpe de Mestre;Golpe de Mestre
A Separação;A Separação;A Separação;A Separação
Indiana Jones e a Última Cruzada;Indiana Jones e a Última Cruzada;Indiana Jones e a Última Cruzada;Indiana Jones e a Última Cruzada
Metrópolis;Metrópolis;Metrópolis;Metrópolis
Duro de Matar;Duro de Matar;Duro de Matar;Duro de Matar
Como Estrelas na Terra;Como Estrelas na Terra;Como Estrelas na Terra;Como Estrelas na Terra
Snatch: Porcos e Diamantes;Snatch: Porcos e Diamantes;Snatch: Porcos e Diamantes;Snatch: Porcos e Diamantes
Ladrões de Bicicletas;Ladrões de Bicicletas;Ladrões de Bicicletas;Ladrões de Bicicletas
Los Angeles: Cidade Proibida;Los Angeles: Cidade Proibida;Los Angeles: Cidade Proibida;Los Angeles: Cidade Proibida
Taxi Driver: Motorista de Táxi;Taxi Driver: Motorista de Táxi;Taxi Driver: Motorista de Táxi;Taxi Driver: Motorista de Táxi
1917;1917;1917;1917
